Date,Price
10/9/1989,974.59
10/10/1989,966.26
10/11/1989,956.24
10/12/1989,951.9
10/13/1989,959.08
10/16/1989,939.39
10/17/1989,953.86
10/18/1989,958.11
10/19/1989,968.96
10/20/1989,968.78
10/23/1989,971.62
10/24/1989,968.46
10/25/1989,967.38
10/26/1989,970.22
10/27/1989,959.04
10/30/1989,959.98
10/31/1989,964.1
11/1/1989,960.88
11/2/1989,957.47
11/3/1989,957.92
11/6/1989,953.91
11/7/1989,950.1
11/8/1989,956.62
11/9/1989,963.83
11/10/1989,963.56
11/13/1989,962.03
11/14/1989,963.51
11/15/1989,966.93
11/16/1989,966.75
11/17/1989,963.75
11/20/1989,961.15
11/21/1989,964.37
11/22/1989,970.74
11/23/1989,971.25
11/24/1989,981.66
11/27/1989,992.49
11/28/1989,993.56
11/29/1989,1003.8
11/30/1989,1011.55
12/1/1989,1010.35
12/4/1989,1016.37
12/5/1989,1019.16
12/6/1989,1027.66
12/7/1989,1025.94
12/8/1989,1024.4
12/11/1989,1023.51
12/12/1989,1027.15
12/13/1989,1034.56
12/14/1989,1029.63
12/15/1989,1031.83
12/18/1989,1032.6
12/19/1989,1023.57
12/20/1989,1022.83
12/21/1989,1023
12/22/1989,1028.16
12/25/1989,1028.16
12/26/1989,1044.63
12/27/1989,1053.2
12/28/1989,1047.35
12/29/1989,1047.86
1/1/1990,1047.86
1/2/1990,1043.26
1/3/1990,1044.8
1/4/1990,1054.33
1/5/1990,1046.18
1/8/1990,1047.86
1/9/1990,1040.82
1/10/1990,1035.08
1/11/1990,1037.13
1/12/1990,1028.91
1/15/1990,1023.8
1/16/1990,1001.73
1/17/1990,1003.17
1/18/1990,991.37
1/19/1990,990.08
1/22/1990,993.39
1/23/1990,993.14
1/24/1990,988.43
1/25/1990,994.56
1/26/1990,999.61
1/29/1990,1014.05
1/30/1990,1012.77
1/31/1990,1007.8
2/1/1990,1012.8
2/2/1990,1015.48
2/5/1990,1018.04
2/6/1990,1022.39
2/7/1990,1011.66
2/8/1990,1011.7
2/9/1990,1003.93
2/12/1990,1003.14
2/13/1990,997.51
2/14/1990,1000.33
2/15/1990,1005.41
2/16/1990,1009.08
2/19/1990,1002.54
2/20/1990,988.83
2/21/1990,967.91
2/22/1990,966.55
2/23/1990,943.3
2/26/1990,911.56
2/27/1990,924.21
2/28/1990,936.39
3/1/1990,920.62
3/2/1990,922.93
3/5/1990,922.81
3/6/1990,919.02
3/7/1990,912.96
3/8/1990,918.79
3/9/1990,915.47
3/12/1990,902.24
3/13/1990,887.46
3/14/1990,882
3/15/1990,882.91
3/16/1990,888.22
3/19/1990,866.65
3/20/1990,854.71
3/21/1990,849.73
3/22/1990,827.92
3/23/1990,843.57
3/26/1990,863.07
3/27/1990,861.5
3/28/1990,848.69
3/29/1990,851.98
3/30/1990,837.74
4/2/1990,796.54
4/3/1990,817.63
4/4/1990,816.81
4/5/1990,821.58
4/6/1990,839.28
4/9/1990,855.65
4/10/1990,839.28
4/11/1990,840.86
4/12/1990,842.64
4/13/1990,838.12
4/16/1990,828.03
4/17/1990,827.76
4/18/1990,838.43
4/19/1990,851.81
4/20/1990,850.85
4/23/1990,841.18
4/24/1990,833.27
4/25/1990,834.56
4/26/1990,834.4
4/27/1990,830.91
4/30/1990,830
5/1/1990,833.57
5/2/1990,845.35
5/3/1990,849.12
5/4/1990,852.78
5/7/1990,870.67
5/8/1990,871.61
5/9/1990,876.26
5/10/1990,874.75
5/11/1990,896.54
5/14/1990,907.84
5/15/1990,913.94
5/16/1990,909.22
5/17/1990,911.96
5/18/1990,907.16
5/21/1990,899.74
5/22/1990,911.6
5/23/1990,916.37
5/24/1990,913
5/25/1990,922.57
5/28/1990,927.88
5/29/1990,923.07
5/30/1990,927.79
5/31/1990,923.6
6/1/1990,928.77
6/4/1990,919.15
6/5/1990,921.61
6/6/1990,919.99
6/7/1990,921.47
6/8/1990,911.76
6/11/1990,901.35
6/12/1990,902.4
6/13/1990,903.92
6/14/1990,910.23
6/15/1990,903.92
6/18/1990,902.92
6/19/1990,899.37
6/20/1990,902.92
6/21/1990,900.89
6/22/1990,899.53
6/25/1990,891.48
6/26/1990,897.28
6/27/1990,910.82
6/28/1990,909.5
6/29/1990,914.3
7/2/1990,919.06
7/3/1990,921.04
7/4/1990,930.69
